CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Male,1.0,2.4581,-2.3755,7.0,,-1.0517,-0.8656,366.08050000000003,Q2,Palestine
PSE,Female,1.0,1.1314,-0.2704,10.0,85.41,0.2018,0.5622,481.9601999999999,Q3,Palestine
PSE,Male,1.0,-0.7438,0.1748,9.0,17.0,-1.568,-1.0006,402.8743,Q2,Palestine
PSE,Female,1.0,-0.642,-0.3744,6.0,17.0,-1.7175,-1.8524,430.2386,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.4798,,8.0,17.0,-0.9896,-0.9001,332.7263,Q2,Palestine
PSE,Female,1.0,-0.3485,-0.5191,7.0,82.41,-0.7173,-0.135,367.99839999999995,Q2,Palestine
PSE,Female,1.0,-0.9024,,3.0,17.0,-1.4449,-2.5222,290.5473,Q1 (Lowest),Palestine
PSE,Female,1.0,0.2822,2.635,7.0,33.76,-1.43,-1.0506,364.8615000000001,Q2,Palestine
PSE,Female,1.0,2.7474,1.1287,9.0,71.72,-0.0089,0.4207,412.4764,Q3,Palestine
PSE,Male,,-0.4687,-1.0075,10.0,76.65,-1.0998,0.663,513.2003,Q4 (Highest),Palestine
PSE,Female,1.0,-0.5941,,5.0,,-1.5213,-1.8876,341.4883,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.6801,-0.508,5.0,17.0,-1.7465,-2.2751,286.2672,Q1 (Lowest),Palestine
PSE,Female,1.0,0.5453,0.8251,7.0,22.77,0.233,-0.9627,381.685,Q2,Palestine
PSE,Male,1.0,-1.3858,0.429,9.0,17.0,-1.9664,-1.5726,323.1018,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.3397,1.5426,7.0,17.0,-0.8872,-0.8155,335.00210000000004,Q2,Palestine
PSE,Female,1.0,0.3532,-2.3558,10.0,75.54,1.7745,1.0028,457.60779999999994,Q4 (Highest),Palestine
PSE,Female,1.0,-0.816,-2.3945,6.0,17.0,0.0553,-1.3283,439.73400000000004,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.5263,-2.3157,5.0,22.75,-1.3028,-1.3877,401.49750000000006,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.1556,0.8918,5.0,26.8,-1.736,-1.7176,425.19339999999994,Q1 (Lowest),Palestine
PSE,Female,1.0,0.1689,0.133,5.0,25.23,-0.9542,-1.6034,416.92260000000005,Q1 (Lowest),Palestine
PSE,Female,1.0,0.7289,0.133,8.0,63.03,-3.3033,-1.0499,344.7587,Q2,Palestine
PSE,Male,1.0,-0.9707,-0.5006,5.0,17.0,-3.4386,-2.6047,360.37679999999995,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.1361,0.4252,9.0,23.8,-0.3035,-0.4143,351.4063,Q2,Palestine
PSE,Female,1.0,-0.3261,0.051,8.0,61.18,-0.2774,0.2812,477.6530000000001,Q3,Palestine
PSE,Female,1.0,-0.3533,0.1932,6.0,37.34,-2.2788,-1.9782,369.23220000000003,Q1 (Lowest),Palestine
PSE,Female,1.0,0.0179,1.8003,5.0,29.32,-1.1555,-1.5773,332.6159,Q1 (Lowest),Palestine
PSE,Male,1.0,0.0179,0.1931,6.0,82.41,0.0034,-0.2443,352.62300000000005,Q2,Palestine
PSE,Male,1.0,,,10.0,,-0.9287,0.3055,359.2602999999999,Q3,Palestine
PSE,Female,1.0,0.2822,0.602,7.0,17.0,-1.2309,-1.1211,360.7103,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.0995,,3.0,51.56,-0.789,-1.1874,365.66600000000005,Q1 (Lowest),Palestine
PSE,Male,1.0,-0.6763,0.7889,2.0,17.0,-2.5572,-3.1523,324.5255,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.4901,0.051,9.0,79.74,-0.371,0.9272,502.2273000000001,Q4 (Highest),Palestine
PSE,Male,1.0,0.195,0.1932,5.0,17.0,-0.3962,-1.4716,384.48670000000004,Q1 (Lowest),Palestine
PSE,Female,,,,,,,,306.9261,,Palestine
PSE,Male,1.0,-0.0349,,10.0,,-1.4763,-0.2998,300.213,Q2,Palestine
PSE,Female,1.0,-0.1484,0.1932,5.0,16.5,-1.8879,-1.8294,424.35909999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,2.2967,-0.7107,3.0,17.0,-1.7971,-2.5077,459.50380000000007,Q1 (Lowest),Palestine
PSE,Male,,,,,,,,310.5316,,Palestine
PSE,Female,1.0,-0.2027,0.051,3.0,33.76,-2.5876,-2.5448,317.3076,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.1337,1.4533,10.0,61.18,-1.8722,-0.354,345.0544,Q2,Palestine
PSE,Female,1.0,-0.9734,-1.6741,10.0,71.29,1.3768,1.0052,472.45020000000005,Q4 (Highest),Palestine
